Unnamed: 0,공연코드,공연회차,소요시간,장르명,세부장르명,출연진내용,제작진내용,기획제작사명,관람연령,아동공연 여부,축제 여부,내한공연 여부,오픈런 여부,단독판매여부,공연시작년도,공연시작월,공연시작일,공연시작요일,공연시작시분,공연기간,공휴일여부,좌석등급개수,평균티켓가격,좌석점유율,코로나표준점수,검색량,출연횟수
SE000201,PF372853,1,110,서양음악(클래식),기악,"김주원, 쾅 하오 후앙",,(주)마스트미디어(주최),만 7세 이상,N,N,N,N,N,2019,7,2,Tuesday,1200,1,0,1,30000.0,0.4604519774011299,0.0,30,11
SE000201,PF360668,1,100,서양음악(클래식),기악,"최유진, 이재완",,예인예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,3,Wednesday,1200,1,0,1,20000.0,0.9689265536723164,0.0,0,10
SE000201,PF372854,1,100,서양음악(클래식),기악,김민욱,,가온클래식(주최),만 7세 이상,N,N,N,N,N,2019,7,4,Thursday,1200,1,0,1,20000.0,0.7429378531073446,0.0,0,1
SE000201,PF360799,1,80,서양음악(클래식),기악,"김경희, 신미정, 장혜리, 안동호",,세광아트(세광음악출판사)(주관),만 7세 이상,N,N,N,N,N,2019,7,5,Friday,1200,1,0,1,30000.0,0.9465408805031448,0.0,220,10
SE000201,PF372069,1,100,서양음악(클래식),기악,나윤아,,마에스트로 컴퍼니(주최),만 7세 이상,N,N,N,N,N,2019,7,6,Saturday,1200,1,0,1,10000.0,0.5935251798561151,0.0,0,6
SE000201,PF372080,1,65,서양음악(클래식),기악,"김정기, 윤인희, 강민지, 박정민, 최정원, 김지연, 이호권",,인스클래식(주최),만 7세 이상,N,N,N,N,N,2019,7,7,Sunday,840,1,0,1,20000.0,0.3024691358024691,0.0,0,5
SE000201,PF372007,1,90,서양음악(클래식),기악,"이귀란, 기현정",한옥미,(사)부암뮤직소사이어티(주최),만 7세 이상,N,N,N,N,N,2019,7,7,Sunday,1200,1,0,1,20000.0,0.0377358490566037,0.0,0,5
SE000201,PF372514,1,80,서양음악(클래식),기악,노예진,,(주)뉴코스모스미디어(주최),만 7세 이상,N,N,N,N,N,2019,7,9,Tuesday,1200,1,0,1,20000.0,0.5480225988700564,0.0,460,8
SE000201,PF360796,1,90,서양음악(클래식),기악,이호정,,지클레프(주최),만 7세 이상,N,N,N,N,N,2019,7,10,Wednesday,1200,1,0,1,20000.0,0.9830508474576272,0.0,0,8
SE000201,PF360972,1,90,서양음악(클래식),기악,"류희윤, 이섬승",,이든예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,11,Thursday,1200,1,0,1,30000.0,1.0,0.0,0,6
SE000201,PF372849,1,90,서양음악(클래식),기악,"임지희, 한지은",,예인예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,12,Friday,1200,1,0,1,20000.0,0.3615819209039548,0.0,0,55
SE000201,PF372104,1,90,서양음악(클래식),기악,"정희석, 김보경",,프로아트엔터테인먼트(주최),만 7세 이상,N,N,N,N,N,2019,7,13,Saturday,840,1,0,1,20000.0,0.0677966101694915,0.0,0,14
SE000201,PF360885,1,90,서양음악(클래식),기악,임재성,,이든예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,13,Saturday,1200,1,0,1,20000.0,0.9774011299435028,0.0,0,14
SE000201,PF372790,1,90,서양음악(클래식),기악,변현조,,예인예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,14,Sunday,840,1,0,1,20000.0,0.1271186440677966,0.0,0,7
SE000201,PF361084,1,90,서양음악(클래식),기악,"박지현, 이주현",,"(주)음악저널(주최), (주)음악저널(주관)",만 7세 이상,N,N,N,N,N,2019,7,14,Sunday,1170,1,0,1,20000.0,0.93,0.0,0,3
SE000201,PF372258,1,90,서양음악(클래식),기악,"김지은, 김한길",,CLASSY LOUNGE(클래시라운지)(주최),만 7세 이상,N,N,N,N,N,2019,7,16,Tuesday,1200,1,0,1,20000.0,0.980225988700565,0.0,0,1
SE000201,PF372199,1,90,서양음악(클래식),기악,박우빈,,이든예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,17,Wednesday,1200,1,1,1,30000.0,0.3107344632768362,0.0,0,1
SE000201,PF360175,1,90,서양음악(클래식),기악,"정승원, 황보영",,이든예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,18,Thursday,1200,1,0,1,20000.0,0.9887005649717514,0.0,0,6
SE000201,PF372192,1,100,서양음악(클래식),기악,"이현주, 박미정",,영음예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,19,Friday,1200,1,0,1,30000.0,0.288135593220339,0.0,0,34
SE000201,PF372194,1,90,서양음악(클래식),기악,"이혜정,김희재",,(주)마스트미디어(주최),만 7세 이상,N,N,N,N,N,2019,7,20,Saturday,840,1,0,1,20000.0,0.7314285714285714,0.0,1310,28
SE000201,PF372913,1,90,서양음악(클래식),기악,"조현수, 이재영, 조현진, 진은지",,(사)부암뮤직소사이어티(주최),만 7세 이상,N,N,N,N,N,2019,7,20,Saturday,1200,1,0,1,20000.0,0.3364779874213836,0.0,0,7
SE000201,PF372580,1,90,서양음악(클래식),기악,"김민조, 윤인희",,"CLASSY LOUNGE(클래시라운지)(주최), (주)마스트미디어(주관)",만 7세 이상,N,N,N,N,N,2019,7,21,Sunday,840,1,0,1,20000.0,0.7542372881355932,0.0,0,12
SE000101,PF372180,1,110,서양음악(클래식),기악,박종화,,"(주)음악저널(주관), (주)음악저널(주최)",만 7세 이상,N,N,N,N,N,2019,7,21,Sunday,1200,1,0,1,20000.0,0.9830508474576272,0.0,640,60
SE000101,PF373229,1,90,서양음악(클래식),기악,조소연,,예인예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,23,Tuesday,1200,1,0,1,20000.0,0.807909604519774,0.0,0,14
SE000201,PF372583,1,90,서양음악(클래식),기악,한승화 등,,CLASSY LOUNGE(클래시라운지)(주최),만 7세 이상,N,N,N,N,N,2019,7,24,Wednesday,1200,1,0,1,20000.0,0.980225988700565,0.0,0,2
SE000201,PF361168,1,90,서양음악(클래식),기악,"허경호, 이선미",,(주)마스트미디어(주최),만 7세 이상,N,N,N,N,N,2019,7,25,Thursday,1200,1,0,1,20000.0,0.940677966101695,0.0,0,3
SE000201,PF372582,1,100,서양음악(클래식),기악,"김란도, 문정재",,영음예술기획(주최),만 7세 이상,N,N,N,N,N,2019,7,26,Friday,1200,1,0,1,20000.0,0.307909604519774,0.0,0,28
SE000201,PF373510,1,90,서양음악(클래식),기악,"박성미, 안종현, 전소영",,"Nomos Trio(노모스트리오)(주최), 현대문화기획(주관)",만 7세 이상,N,N,N,N,N,2019,7,27,Saturday,840,1,0,2,30000.0,0.7824858757062146,0.0,8070,52
SE000201,PF360139,1,90,서양음악(클래식),성악,"안대현, 김은진",,지클레프(주최),만 7세 이상,N,N,N,N,N,2019,7,27,Saturday,1200,1,0,1,20000.0,0.9887005649717514,0.0,0,2
SE000101,PF373471,1,100,서양음악(클래식),기악,"김란도, 윤민규, 송호섭, 이석준, 김형찬",,영음예술기획(주최),만 5세 이상,N,N,N,N,N,2019,8,11,Sunday,840,1,0,2,15000.0,0.9915254237288136,0.0,0,10
SE000201,PF373568,1,100,서양음악(클래식),기악,"황성민, 맹준관",,예인예술기획(주최),만 7세 이상,N,N,N,N,N,2019,8,11,Sunday,1200,1,0,1,10000.0,0.9887005649717514,0.0,0,1
SE000201,PF373992,1,100,서양음악(클래식),기악,"최은정, 에반 솔로몬",,영음예술기획(주최),만 7세 이상,N,N,N,N,N,2019,8,13,Tuesday,1170,1,0,1,20000.0,0.9689265536723164,0.0,0,4
SE000201,PF373775,1,90,서양음악(클래식),기악,"이경민, 최승리",,(주)음연(주최),만 7세 이상,N,N,N,N,N,2019,8,14,Wednesday,1200,1,0,1,20000.0,0.9821428571428572,0.0,0,4
SE000201,PF374429,1,90,서양음악(클래식),기악,"김현곤, 송정민, 유문선, 김나윤, 이정민, 장재혁, 최성심  등",,"지클레프(주관), 서울클라리넷앙상블(주최)",만 7세 이상,N,N,N,N,N,2019,8,15,Thursday,1200,1,1,1,20000.0,0.9830508474576272,0.0,0,10
SE000201,PF373248,1,90,서양음악(클래식),기악,김미경,,예인예술기획(주최),만 7세 이상,N,N,N,N,N,2019,8,16,Friday,1200,1,0,1,20000.0,0.9774011299435028,0.0,0,1
SE000201,PF373705,1,100,서양음악(클래식),기악,성보경,,가온클래식(주최),만 7세 이상,N,N,N,N,N,2019,8,17,Saturday,840,1,0,1,20000.0,0.9661016949152542,0.0,0,3
SE000101,PF373871,1,120,서양음악(클래식),기악,"한예지, 이형규, 유영효, 김용원, 소진선",,"CLASSY LOUNGE(클래시라운지)(주최), (주)마스트미디어(주관)",만 7세 이상,N,N,N,N,N,2019,8,17,Saturday,1200,1,0,1,20000.0,0.6062322946175638,0.0,0,10
SE000101,PF372102,1,90,서양음악(클래식),기악,정도행,,조인클래식(주최),만 7세 이상,N,N,N,N,N,2019,8,18,Sunday,840,1,0,1,20000.0,0.963276836158192,0.0,0,5
SE000201,PF374370,1,90,서양음악(클래식),기악,"임성윤, 문정재",,"지클레프(주최), 지클레프(기획사)",만 7세 이상,N,N,N,N,N,2019,8,18,Sunday,1200,1,0,1,20000.0,0.9830508474576272,0.0,5420,27
SE000201,PF374940,1,90,서양음악(클래식),기악,추교준,,CLASSY LOUNGE(클래시라운지)(주최),만 7세 이상,N,N,N,N,N,2019,8,20,Tuesday,1200,1,0,1,20000.0,0.963276836158192,0.0,0,2
