,전송사업자코드,전송사업자명,좌석수,공연코드,공연회차,공연일시,예매/취소구분,예매/취소매수,예매/취소금액,장당금액,공연시작일자,공연종료일자,소요시간,장르명,세부장르명,출연진내용,제작진내용,기획제작사명,원작자명,극작가명,수상실적,관람연령,아동공연 여부,축제 여부,내한공연 여부,오픈런 여부,좌석등급,단독판매여부,판매좌석수
2742,SE000303,네이버N예약,248,PF360097,1,2019-07-09 19:30,1,1,10000,10000,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),N,0
2743,SE000303,네이버N예약,248,PF360097,1,2019-07-09 19:30,1,1,10000,10000,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),N,0
2744,SE000303,네이버N예약,248,PF360097,1,2019-07-09 19:30,1,1,10000,10000,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),N,0
2745,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2746,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,2,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2747,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2748,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2749,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2750,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2751,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2752,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2753,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
2754,SE000102,티켓링크,248,PF360097,1,2019-07-09 19:30,1,1,0,0,2019-07-09,2019-07-09,1시간 30분,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),,,,만 6세 이상,N,N,N,N,전석(10000),Y,1석
