공연코드,출연진내용,검색량,출연횟수
PF370712,"박찬호, 김예슬",0,3
PF371303,조혜정,0,10
PF370187,"유이삭, 하동완",250,1
PF371332,"김민정, 한지은, 박지현",0,55
PF371453,"김나정, 한지은",0,7
PF382946,"박현주, 오순영",1090,5
PF371708,"장종선, 송영민, 김지윤",3730,28
PF371813,"이수민, 최현호",0,2
PF371029,"정다운, 김정휘",0,1
PF371158,"서영일, 김기경",60,11
PF371589,"김선희, 강은정",0,5
PF371577,신성희,0,3
PF371815,"전인홍, 박미정",0,2
PF382727,"송지원, 홍소유",720,15
PF371008,정소윤,30700,2
PF382400,"이은준, 최현호, 이호찬",0,5
PF382096,"박선영, 한미연, 신지향, 서지원",0,11
PF382386,"박상현, 최현호",0,2
PF371912,김민승,0,1
PF382362,"김경은, 조윤정, 이소정",0,6
PF383581,"권영선, 김지은, 신승환, 정순민, 유환민",60,4
PF382974,"이수민, 임효선",0,33
PF382205,노은경,0,8
PF383643,"강효지, 이주헌",0,3
PF382423,고로헌,0,1
PF383024,"손한요, 이철호, 임정연, 김선우, 김은근, 박정원, 선승미 등",0,3
PF382609,"서우형, 이은지",0,3
PF383846,"김은국, 김미아",0,1
PF382977,장린,0,5
PF383993,"송호섭, 문정재",0,27
PF383874,"권예나, 박주영",0,1
PF383733,"신지혜, 이설의",0,2
PF383942,"윤재현, 문정재, 엄주빈, 전제곤, 김수유, 김철우",0,27
PF382540,"박소현, 김은정",0,15
PF383839,"김주현, 박동의, 윤민구",0,3
PF382706,"홍수연, 박세준",0,7
PF382991,"한예진, 김재원",1930,155
PF382999,"한소라, 서우형, 이정아",0,10
PF383962,"김현남, 민경식",0,10
PF384594,"손호용, 김재원",1930,155
PF384824,"박영환, 국지영",0,1
PF384900,천예나,0,4
PF384965,"김현미, 이수민, 김회진, 임경원, 박미희, 박노을, 에르완 리샤 등",0,38
PF384859,"한지희, 이섬승, 박노익",0,4
PF384936,최재원,0,10
PF384872,"윤지용, 황보영",0,4
PF385962,"김시내, 김미연",0,7
PF385814,이종은,0,5
PF384721,김효선,0,2
PF384662,박장근,0,3
PF385138,"박경호, 이신형, 이섬승",0,4
PF385029,"문지원, 송영민",0,28
PF385048,양혜순,0,17
PF385984,"이규봉, 방은현",0,3
PF385949,"구희령, 박은희, 김근화",0,4
PF385926,"권혜진, 박미정, 이희명, 조재현, 배성우",0,6
PF385859,우주아,0,2
PF385038,황인교,0,13
PF385121,김보경,0,3
PF385994,김선주,0,14
PF384977,김정현,0,6
PF384908,이주용,0,20
PF384806,"지은혜, 서규인",0,2
PF386298,"허재영, 박수빈",0,16
PF385073,이마리솔,0,5
PF385171,"한동연, 황보영",0,8
PF385177,"진덕, 이재완",0,3
PF384169,"심영섭, 정지혜",0,1
PF386310,"문록선, 전지훈, 권미나, 유재아, 박건영, 윤승호",0,3
PF385102,"전선희, 문정재",0,27
PF385065,"권혜진, 윤효린, 정승연",0,6
PF386487,"김혜란, 박태형, 최재원",0,14
PF386477,"이규성, 김주혜, 진영선",0,1
PF386421,"김현아, 양승희, 윤은규, 이세영, 임성윤, 김상진, 서수민 등",0,30
PF385041,"박재린, 홍성수, 김아름, 김정수, 박운주, 박기흥",0,0
PF386202,권미혜,0,6
PF386297,이해든,0,2
PF386561,정민정,0,24
PF386363,"박고운, 박진우",0,6
PF385122,한지은,0,12
PF386280,"최유진, 이재완",0,28
PF386085,박성열,0,6
PF386097,"정지강, 윤형숙",0,8
PF386428,정재원,0,16
PF386941,"윤소영, 한수혜, 박동석, 김우진, 이경진, 김병완, 라세원 등",0,21
PF386407,"김성준, 심관섭",0,3
PF386025,"김지은, 한지은",0,12
