공연코드,출연진내용,검색량,출연횟수
PF306909,"강보라, 최승리",0,8
PF306012,"최규원, 이희라",0,1
PF307300,"이현주, 박미정",0,13
PF306155,"홍청의, 최상호",0,15
PF307487,"오상은, 최수은, 유소람, 이선미",0,13
PF307439,"최재연, 강지현",0,1
PF308278,"김정연, 임재성, 김은찬",0,14
PF307474,"왕명호, 허정화",0,4
PF307385,"장종선, 송영민, 장우리",0,38
PF307004,유세형,0,2
PF307810,선율,650,11
PF307429,"김현준, 김재원",1930,155
PF308589,"김현준, 김재원, 김주현",1930,155
PF307493,"김혜지, 최형록",5300,14
PF307210,이조해,0,1
PF307892,김유빈,380,19
PF307941,김소연,1860,23
PF308462,"양미현, 김민준 등",0,4
PF307500,"황소진, 이영우",0,25
PF307743,"박지애, 오유진, 장주연",0,10
PF308700,"김성은, 한지은",1260,7
PF307918,정서윤,0,1
PF308541,"박경화, 김소원",0,6
PF308400,"이원식, 이무은, 한지희, 이동일",0,4
PF307900,"송승호, 홍은정, 변진",0,1
PF307906,방인주,0,5
PF307099,"조재복, 김예슬",0,4
PF307147,"선우지현, 한지은, 이충우",0,24
PF308457,"오병철, 임현진, 박혜정, 김현준",150,5
PF307935,"이성빈, 최현호",0,3
PF307100,"박지은, 이승원",0,22
PF307503,이섬승,0,4
PF307566,송지원,720,28
PF308785,"이승준, 류정인, 김하은, 김동희, 허영서, 이한길, 박아인 등",0,2
PF308787,"김민정, 권혁주, 신다은, 공일호, 성혜민, 박연주, 이현민 등",0,1
PF308602,"황혜재, 조영희",0,10
PF308933,"조정현, 김동규",24900,3
PF308931,"전나경, 이문영, 이경원, 김경란, 박보윤, 이재은, 최용기 등",0,9
PF307953,"한지은, 허정화, 이예린",0,12
PF308774,"홍성은, 최인선",0,16
PF308821,"임승훈, 김가람",50,12
PF309340,정재원,0,16
PF308862,"김지윤, 문정재",0,27
PF308108,"조혜운, 정승연, 신지아",0,22
PF308669,"서범수, 윤성애, 한연숙",0,4
PF308969,"김보람, 고승희",0,2
PF309220,"정담온, 홍인경",0,9
PF309579,"이지영, 오선영, 송정민, 김형찬, 신현석",0,28
PF308664,"양승희, 피오트르 쿠프카",0,22
PF308813,"김현정, 구민희",0,2
PF308161,"장민경, 정영안, 오영란",0,30
PF309500,"최승윤, 정호정",40,26
PF309333,"박경신, 민숙연, 오현영, 최우영, 김샤론, 조성환, 조윤환 등",0,7
PF308961,"서수민, 문정재",0,21
PF309021,"안명주, 송영민",3730,38
PF307000,"한혜열, 윤호근, 강지영",3730,4
PF309028,알렉 쉬친,0,4
PF308506,"인태영, 조윤정",0,3
PF309893,"김유리, 김지윤, 민은경, 양훈지, 임채연, 피예나, 김세영 등",0,16
PF300526,,0,0
