공연코드,출연진내용,검색량,출연횟수
PF392690,양지,0,6
PF392667,박민희,0,1
PF381721,"강초롱, 허정화, 박혜정",0,3
PF392462,성해린,0,5
PF392798,"최재희, 이수연",0,6
PF392608,김영하,0,1
PF393232,김연경,0,6
PF392053,"남유리나, 김재원",1930,164
PF392006,홍수민,0,2
PF392125,"장원우, 원종호, 임재성",0,5
PF392777,황예진,0,1
PF392090,"장종선, 송영민, 심선민, 전현석, 김성아, 여희영, 김태리 등",3730,38
PF392801,김하늘,0,3
PF393258,"이형근, 장주연, 김태경",0,1
PF392034,심근수,250,3
PF392157,이은지,0,3
PF393283,"유우정, 유미향",3180,4
PF392057,"한윤지, 홍소유",0,1
PF393314,"노원빈, 장주연",0,2
PF393282,"왕명호, 허정화, 이시현, 윤재현",430,5
PF393296,"선우지현, 한지은, 김진훈, 진은준, 이혜원, 김용식",0,9
PF393369,김현정,3310,23
PF393359,"윤수연, 이승연",0,4
PF393221,"김성아, 정소라",0,1
PF393612,"김예슬, 노유리",0,3
PF393379,"이현웅, 송영민",3730,38
PF393240,"황예찬, 이윤정, 성해린",0,5
PF393466,안소연,0,1
PF393434,김준환,0,4
PF393484,"김윤희, 이준영",0,5
PF393338,"이호찬, 일리야 라쉬코프스키",8070,52
PF394215,"송호섭, 문정재",5420,14
PF394745,"윤은규, 홍소유",380,4
PF394543,"백재린, 백현경, 방기수",930,11
PF394403,최현호,0,2
PF394482,"신호철, 최인선",0,2
PF394506,"신승민, 김란도, 김재원",1930,164
PF394737,"여진주, 이영교",0,2
PF394884,유미향,3180,4
PF393021,"최정섭, 김재원",1930,164
PF394562,백명진,1520,10
PF394893,"이은정, 한미연",0,4
PF394277,"오덕선, 배은환, 손인경, 정유진, 김진승, 배일환, 김호정 등",0,7
PF394655,"안명주, 송영민, 김상진, 조성현",3730,38
PF393973,"홍창준, 김재원, 이지행",1930,164
PF393658,"홍성은, 최인선",0,10
PF393731,"정진희, 진영선",0,5
PF393355,"한승아, 문재원",790,14
PF393964,"이준성, 이은영",0,10
PF393505,"양승희, 주희성",0,10
PF393416,"박현정, 최재원, 윤진원, 윤효린",0,11
PF393551,"장재영, 김재원",1930,164
PF393405,"이지영, 오선영, 송정민, 김형찬, 신현석",0,8
PF393634,"김수영, 김재희, 박종훈, 송승미, 안지아, 이소진, 이은정 등",7830,25
PF393622,"성현경, 양승희, 임성윤, 서수민, 에르완리샤, 김호정, 임경원 등",150,10
PF393996,유소영,0,4
PF393961,정다슬,5460,7
PF394503,"박기옥, 한지은",0,9
PF393122,"이예린, 심선민, 김형찬, 한상일",1490,13
PF394010,"문명환, 송영민",3730,38
PF394347,"박찬호, 김나형",0,3
PF394768,"홍진선, 윤정은",0,2
PF393536,"김미정, 김성희, 김지현, 김향미, 안미현, 오윤주, 이준성 등",0,8
PF393018,"유지홍, 김재원",1930,164
PF394821,"나승준, 오혜진",0,1
PF394977,이승연,0,2
PF394917,"김수지, 알렉 쉬친",0,7
PF394209,"문지형, 이윤수",0,12
PF394526,"박지은, 김봄날",0,14
PF394148,"신윤경, 한지은",0,9
PF394110,"박재린, 박수빈, 박운주, 최시리, 성상윤, 임지희, 최하람 등",2150,8
PF394066,"신미정, 김수연, 정선이, 조상운",930,9
PF394326,"윤민규, 손은정, 김형찬",2130,6
PF393070,전수진,0,10
PF394175,"정영하, 김신희, 김은혜, 이용근, 김소리, 정진희, 박지현 등",0,3
PF394003,"이주연, 김수연, 문정원, 정수현",0,4
PF394623,"우희원, 하동완",0,1
PF394120,"박노을, 히로타 슌지",0,21
PF395635,"유성민, 한지은",0,10
PF395764,"하세훈, 방은현",140,1
PF395887,"이은미, 백양지, 강민정, 이신행, 송화현, 이상민, 황은비 등",3990,2
PF395579,"권현진, 김고은",0,2
PF394889,"이승진, 신미정",220,7
PF394109,"최용기, 안희정",0,8
PF395689,"정원순, 이숙정, 김성은, 강지은, 이혜정",0,9
PF395052,유지수,0,15
PF394778,양윤희,2300,6
PF395759,"변새봄, 김고운",1690,3
PF395706,"최지호, 윤서진, 조재복",0,2
PF394316,"정승연, 김태진",0,7
PF395270,,0,1
PF394114,"김성은, 지석영",0,8
PF395346,"이채영, 송수미",0,5
PF394844,"문지원, 송영민",3730,38
PF394024,"정찬혁, 정영하",40,2
PF395798,"노예진, 민경식",0,2
PF394409,히로타 슌지,0,21
PF395055,"이규성, 이석중, 조동현, 김대준, 한기정",0,7
PF395878,"오현진, 오연택",8430,3
PF396434,"손소이, 윤혜성, 강민정, 송화현, 이상민, 박새미로, 주윤아",60,2
PF396244,"배종선, 나혜수, 피오트르 쿠프카",0,6
PF395670,김성재,0,1
PF395347,"에르완 리샤, 박노을, 김효영, 히로타 슌지",0,29
PF395791,"윤현주, 이민지, 이세르게이",0,5
PF395922,"하세연, 장은혜",0,3
PF395148,이영우,0,23
PF396430,"문주영, 박미희, 이세영, 서수민, 김우진, 박혜준 등",0,7
PF396200,김소연,1860,11
PF395840,"김광훈, 김용진",1060,8
PF396227,"김소연, 윤현임, 필립 윤트, 히로타 슌지",0,21
PF396253,"김지은, 임혜수, 정혜란",0,2
PF395812,"최예지, 김재원",1930,164
PF395266,송영민,3730,38
PF396518,"김은기, 김재원, 김진택",1930,164
PF395090,"조윤정, 박진우",8020,51
PF396526,"김석란, 정욱희, 한영혜, 류진화, 송윤종, 송승미 등",4290,16
PF395186,"문숙재, 이섬승",1000,7
PF395730,"곽나영, 김희정, 장선우, 박찬호 등",0,10
PF396670,"김다영, 성해린",0,2
PF395170,"김형일, 임홍균, 문재원",790,14
PF396941,"박재린, 민경식",6350,26
PF396163,"김건주, 안요셉, 이윤희, 김재윤, 나윤주, 박신혜, 김유경 등",0,32
PF397442,"이보연, 박지현, 신윤경, 이헬렌, 배기태, 한지은, 변현조",0,10
PF395744,조소연,0,13
PF395493,"박서영, 김나정, 김홍준, 김재윤, 이재은, 한지은",0,32
PF396296,"현유라, 한미연",40,4
PF397554,"김한글, 강금화",0,3
PF397338,정다현,210,1
PF396447,조지현,0,19
PF396195,"김지우, 이승원",0,2
PF396572,"김주원, 김진택, 김기경, 정윤혜",60,32
PF396684,권혜진,0,8
PF397802,박동석,0,3
PF397399,정혜림,0,1
PF397458,"정지강, 윤형숙",4660,11
PF397650,"박상현, 고한승, 안드레 에레",0,12
PF396314,"이소란, 박진우, 이재민",8020,51
PF397741,"한경진, 문명환",0,13
PF397912,"김영은, 박가경, 엘레나 아발리안",0,13
PF397425,"윤태영, 송영민",3730,38
PF397373,김동준,0,3
PF397480,"박진오, 윤인희",0,2
PF396181,김인영,0,2
PF397146,"오은지, 박민희",0,4
PF397496,서지수,0,6
PF397562,박성열,0,6
PF397813,"김대연, 서명현",0,8
PF397030,"나채원, 김재원",1930,164
PF397179,채문영,1570,6
