공연코드,출연진내용,검색량,출연횟수
PF307781,"신예진, 강미경, 김승태, 변상엽, 권도윤, 임정욱",0,1
PF307583,"이영주, 한성원",0,21
PF307308,정연호,0,1
PF307824,"권소민, 신혜수, 권오준, 백승진, 박주연",0,1
PF308256,"조민지, 최혜리",0,3
PF307107,"이동신, 정미화, 김병현, 김선양, 정미현",0,33
PF308790,,0,1
PF308788,"임한나, 허은정, 김예은, 이병룡, 정제학",0,3
PF308109,"최영식, 손정아, 한은영",0,4
PF308016,"박나연, 김상은, 김효진, 류정희, 이승호, 홍나영, 이수정 등",0,10
PF308749,"김종현, 김하영, 배원 등",0,11
PF309443,"이서영, 김용하, 박종현, 최광일",0,2
PF308033,"전정희, 임승범, 김은실, 문혜란, 전은구, 전상희, 정정현 등",0,1
PF308372,"류상열, 이수정",0,7
PF308141,이주은,0,6
PF309804,"박미선, 김종현",0,11
PF309213,"김영주, 홍나영",0,4
PF309842,"김영미, 김민희, 홍나영",0,5
PF309086,,0,1
PF309349,"정준수, 최훈락",0,9
PF308998,"허은정, 김진민",40,1
PF300485,장태화,0,1
PF308147,이혁,8490,16
PF309481,"박지원, 이수빈, 이유정, 전수아, 최영원, 민경휘, 최주신 등",0,1
PF309521,"이정현, 손재명, 강경신",0,1
PF309492,"이윤경, 한보라, 김명규, 서정혁, 서인애",0,26
PF309197,"김현수, 한혜민, 김소정, 배은진, 최민정, 김유진, 박성찬 등",0,2
PF301297,"박치상, 이중희",0,27
PF300199,"김은지, 최민정, 손효창, 황요한, 조종욱, 윤유정, 서정빈",0,3
PF301243,김성연,0,2
PF309000,홍지민,0,2
PF300627,"정준수, 최영식, 김광현, 허준화, 고은비, 이환숙, 임지영 등",1050,39
PF300288,"안인모, 송정민, 이희수",0,19
PF301686,정은지,0,1
PF301679,"장태화, 옥윤애, 박수경, 송효정, 장신옥, 정유민, 최선미 등",0,5
PF301553,"안경민, 구지은, 김서준",0,1
PF301511,이수희,0,2
PF300211,"정혜진, 남자은, 권은실, 이강원, 송정민, 김보경, 박소연 등",0,3
PF300191,"이영섭, 양승환",0,4
PF301411,"하지현, 문재원",790,14
PF300284,"이진하, 정성욱, 이희수, 양재관, 황요한, 이상준, 추원주",0,1
PF312522,"윤혜원, 우창훈, 김은옥",0,3
PF301154,"김은지, 이경희, 최민정, 박주영, 배 원, 안경민, 구본룡",0,1
PF312225,"김민승, 문민영",0,1
PF312305,황요한,0,1
PF312176,이송희,0,1
PF312113,김가령 등,0,1
PF301825,"김소영, 김은경, 박지은, 박지혜, 박효진, 서혜주, 정종욱 등",230,1
PF301826,"김은옥, 배필호",0,1
PF301898,"백낙원, 김효준, 최성종, 김성연, 이재준, 정지교",0,3
PF301887,"정나영, 송정민, 김하영, 박소연, 우창훈, 전종욱",0,2
PF313200,"김상은, 임봉석, 은빛나",0,4
PF313917,"김은지, 윤유정, 김동명",0,3
PF312166,"정순연, 이혜명, 이건형, 박진영, 김이정 등",0,4
PF314700,"박민혜, 문민영",0,0
PF314580,"하태길, 이주은, 이은정, 나윤아, 배은진, 이윤하",0,6
PF313964,"백나현, 박정국",0,2
PF313474,"조희창, 정원영, 배필호 등",0,3
PF314924,배 원,0,2
PF315671,"장신옥, 박수경, 최선미, 송효정",0,2
PF315854,"오국환, 최훈락",0,9
PF315517,"하지현, 김민지, 박해용, 안경민, 김종현, 장가영, 우정훈 등",0,4
PF315638,"박동욱, 도찬송, 서영희 등",0,1
PF313467,김수연,6520,3
PF314696,"오국확, 현동헌, 정지혜, 유광준, 엄윤숙, 안수영, 김지혜 등",0,2
PF314760,"박종훈, 치하루 아이자와, 알베르토 마르티니, 이상은 등",7830,145
PF316302,"한혜민, 김종현",0,4
PF315580,"김다미, 김규연",2820,10
PF316358,,0,1
