공연코드,출연진내용,검색량,출연횟수
PF392190,정소영,0,6
PF393542,"신수현, 신윤영",0,1
PF393331,"조정현, 김동규",0,7
PF393903,"오혜림, 이나영, 최현정, 황요한, 박지현, 박현정, 장하은 등",0,4
PF394691,"김아름낭, 최병길, 정해임",0,1
PF393043,"황예진, 이신유, 조아름, 유지수, 이다영, 권순관, 임진성 등",0,21
PF393039,"서정혁, 김은혜, 은빛나",0,2
PF393042,"이정아, 백민아, 오영민, 제상철, 박선민",0,11
PF393999,전예림,0,1
PF394046,"이동신, 김병헌, 정수연, 박민주, 강다영, 구예영, 김민경 등",0,33
PF395558,"이경은, 김효준, 신경은, 최민석, 마재성, 이아영, 유미주 등",0,1
PF395532,"배원, 박진아",0,5
PF395344,"김형준, 최요섭, 오영민, 이주희, 조광래, 김명규, 곽보라 등",0,2
PF395796,"구수민, 김조아, 이보나, 이보영, 이은경, 이정현, 장민수 등",0,16
PF394982,"이강원, 김보경, 박용인, 김보혜, 신동훈, 정지원, 강수연 등",0,20
PF396283,"강대현, 주미정, 송효정, 장태화, 박지은, 김경미, 이송희 등",0,6
PF394032,"백나현, 우현수, 박선경, 정혜진, 박주영, 이수진, 조종욱 등",0,7
PF395782,"주선영, 오태경, 하지현, 오국환",0,4
PF395811,김은옥,0,1
PF396454,"황효정, 전자희, 이윤하",0,2
PF395865,"윤주리, 오지혜, 장지은, 오지환, 한진, 최혜리",0,2
PF395858,"이상준, 박혜지, 우정훈, 이솔",80,5
PF396567,,0,1
PF396612,"안혜찬, 변지영, 임형탁, 임경섭, 이은희, 박춘식, 정호원 등",0,4
PF397237,"박치상, 이은숙",0,29
PF395033,최지환 등,0,2
PF397200,"김민진, 은빛나",0,7
PF397236,"김만수, 김진민, 김은혜",0,5
PF396706,"정은신, 김혜심, 김혜헌",0,2
PF397656,최주현,0,1
PF397328,,0,1
PF396825,"성상현, 한진석, 노창균, 김아진, 정다현, 김정환",110,2
PF396827,"임미래, 전예림, 류예진, 김찬진, 조애지, 주민경, 신윤영 등",0,1
PF396828,"윤유정, 정은지",0,5
PF396826,"김태연, 장태화, 정지교, 최훈락, 서아름, 권주희",0,9
PF397874,"하지현, 김민지, 장기영, 안경민, 정세롬, 우정훈, 소은경 등",0,4
PF398616,,0,1
PF396615,토니 윤,0,3
PF398407,김유진,0,3
PF398006,양요한,0,1
PF398524,"서지원, 안중연, 김민욱, 유영호, 홍성찬, 김형주, 오정민 등",0,6
PF399279,,0,1
PF398958,,0,1
PF398062,"이보나, 이미영, 구민영, 김조아, 강동은, 임이랑, 홍제만 등",0,11
PF398657,"박종훈, 치하루 아이자와",7830,160
PF398655,"김동녘, 배진형, 구본광, 김혜령, 배규희, 정혜진, 도민영 등",0,9
PF398648,"송정민, 박소연, 최재호, 송성훈, 정나영, 권성준, 은빛나",0,7
PF399027,,0,1
PF399832,,0,1
PF390472,"오혜림, 이나영, 최현정, 황요한, 박지현, 박현정, 장하은 등",310,8
PF399182,"홍기쁨, 백나현, 김은지, 최민정, 배원",0,4
PF399001,"김보경, 박진아",0,5
PF390208,"윤유정, 김은지, 황요한",0,6
PF399088,"윤지민, 배진형, 김보라, 이명현, 구본광",0,3
PF390539,,0,1
PF390531,"강나래, 박성근, 지유경",40,4
PF390547,,0,1
PF390631,"이정연, 신성아, 전지은, 박준선",0,3
PF390250,"조승룡, 이호근, 송지은, 김찬영, 홍제만, 김자경, 김락호 등",0,22
PF390829,"이희수, 우정훈, 윤주리, 정성욱, 최지민, 김태영, 김동명",0,2
PF391334,"오영지, 윤진태, 이언, 정지교, 김혜령, 백원주, 변규리 등",0,3
PF391296,"김헌일, 조영진, 김민희, 황효정, 박선경, 김민수, 최윤경 등",0,7
PF391206,"김영산, 이재준, 장주영, 정선겸, 김민건, 김연귀, 김제윤 등",0,3
PF390462,"권은실, 양원윤, 김보혜, 박효신, 박정주, 오영은, 이수현 등",0,20
PF391503,,0,1
PF391271,"심후섭, 김영란, 변영찬, 이상미, 강교은, 심효빈, 이희수 등",0,2
PF390444,"정의진, 윤하, 김주미, 김예송, 조현지, 유로이스, 정수연 등",0,1
PF390442,"김하영, 배원은, 김종현",0,11
PF390443,"박성진, 최수혁, 이정민, 김성원, 이희수, 양의진, 강경신 등",0,2
PF391859,"이영섭, 문경아, 윤서경, 이재하, 김승태",0,5
PF391378,"김희수, 김동규, 정현빈, 곽준호, 이석중, 우정훈",0,2
PF302303,"정지원, 노정이, 조상필, 조성현, 박동혁, 서호성, 전보라 등",0,1
PF391791,"이영주, 박미영, 송혜진, 어은정, 이윤지, 신민정, 김두원 등",0,20
PF391333,권주희,0,5
PF302355,"남자은, 백나현, 배규희",0,5
PF390169,"최지은, 추교준, 이언",0,9
PF391114,"하지현, 인소연, 김수지",0,10
PF302035,"구수민, 김상은, 이보영, 김조아, 이은경, 이지혜, 장민수 등",0,13
PF303359,"장혁준, 최영식, 이윤하, 황효정, 최훈락",0,9
PF302002,"고선미, 김은희, 위수인, 이창훈",0,36
PF303603,,0,1
PF303666,,0,1
PF302890,"장혁준, 최훈락",0,9
PF302850,"김효준, 강동은, 경희설, 김민지, 박신해, 박초희, 손영훈",0,2
PF391059,조아란,0,4
PF304267,"박소현, 송희송, 이동열, 이일세, 오국환, 박민혜, 우창훈 등",0,18
PF304494,"하태길, 김종현",0,11
PF302054,"최병길, 정정미, 장보황, 신지현, 현수진, 김재웅, 조성훌",0,1
PF302977,"이승희, 김보혜, 김지은, 방지원, 박창원, 오영지",0,8
PF304089,"주은아, 김진민, 류지원, 정혜경, 손수연, 박현정, 김정윤 등",0,4
PF303343,"신혜수, 허강민, 백경민, 우도욱, 모덕문, 송상호, 권현영 등",0,1
PF303344,"김주리, 황은진, 양수진",0,2
PF303342,"윤성준, 정새롬, 황요한, 박주영, 하은홍, 김종현",0,11
PF304317,"백나현, 정혜진, 안수영, 오국환, 우현수, 김동준, 남자은 등",0,6
PF305701,"윤성준, 이승호 등",0,14
PF305491,"장일범, 김선양, 김병현, 김혜령, 김민경",0,68
PF305792,"김희수, 김동규, 곽준호, 정현빈, 이석중, 우정훈",0,2
PF305703,"윤민경, 오혜령, 조민형, 손미주",0,2
PF306878,최혜리,0,1
PF306858,"이지훈, 신재민, 박미경, 우현수, 박미선, 배원, 경희설 등",0,30
PF306945,"조현, 홍나영, 이동열",0,3
PF306835,"남자은, 구본광, 정혜진, 김혜령, 이송지, 이언",0,11
PF306426,"조영주, 류지원, 김은환",0,10
PF306068,"이강원, 박진아",0,4
PF307420,"김효준, 김동명, 송정민, 경희설, 이언, 송성훈",0,2
